State,Median_Distance_Per_Day,Median_Distance_State_Per_Year,All_Average_Median_Distance_Per_Year
Alabama,15.6,5694,5259.041666666667
Arizona,15.2,5548,5259.041666666667
Arkansas,14,5110,5259.041666666667
California,13.2,4818,5259.041666666667
Colorado,13.8,5037,5259.041666666667
Connecticut,13,4745,5259.041666666667
Delaware,16,5840,5259.041666666667
Florida,12,4380,5259.041666666667
Georgia,14.8,5402,5259.041666666667
Idaho,12.4,4526,5259.041666666667
Illinois,13,4745,5259.041666666667
Indiana,13.8,5037,5259.041666666667
Iowa,14,5110,5259.041666666667
Kansas,12.8,4672,5259.041666666667
Kentucky,14,5110,5259.041666666667
Louisiana,14.4,5256,5259.041666666667
Maine,19.6,7154.000000000001,5259.041666666667
Maryland,15.8,5767,5259.041666666667
Massachusetts,12.8,4672,5259.041666666667
Michigan,16,5840,5259.041666666667
Minnesota,17.4,6350.999999999999,5259.041666666667
Mississippi,17,6205,5259.041666666667
Missouri,15.8,5767,5259.041666666667
Montana,13,4745,5259.041666666667
Nebraska,12.4,4526,5259.041666666667
Nevada,11.8,4307,5259.041666666667
New Hampshire,19.2,7008,5259.041666666667
New Jersey,14,5110,5259.041666666667
New Mexico,14.6,5329,5259.041666666667
New York,12,4380,5259.041666666667
North Carolina,15,5475,5259.041666666667
North Dakota,13.6,4964,5259.041666666667
Ohio,13.4,4891,5259.041666666667
Oklahoma,14.6,5329,5259.041666666667
Oregon,12.6,4599,5259.041666666667
Pennsylvania,13.4,4891,5259.041666666667
Rhode Island,11.8,4307,5259.041666666667
South Carolina,15.2,5548,5259.041666666667
South Dakota,14.6,5329,5259.041666666667
Tennessee,14.8,5402,5259.041666666667
Texas,14.6,5329,5259.041666666667
Utah,13.4,4891,5259.041666666667
Vermont,19,6935,5259.041666666667
Virginia,15,5475,5259.041666666667
Washington,14,5110,5259.041666666667
West Virginia,15.6,5694,5259.041666666667
Wisconsin,16.2,5913,5259.041666666667
Wyoming,11.4,4161,5259.041666666667
